event_date,sale_date,days_to_event,venue,genre,ticket_tier,base_price,artist_popularity,temperature_c,is_cold,is_rainy,is_weekend,is_saturday,month,day_of_week,has_competing_event,is_peak_season,viral_shock,transport_disruption,venue_location_premium,price_adjustment_pct,optimal_price
2024-07-17,2024-06-18,29,Manchester Arena,R&B,Standing (General),48.0,1,18.4,0,0,0,0,7,2,0,1,0,0,0.08,12.28,54.0
2023-04-06,2022-11-17,140,"O2 Arena, London",R&B,Premium (Seated),125.0,10,18.4,0,0,0,0,4,3,1,0,0,0,0.22,22.0,152.5
2024-04-29,2024-02-22,67,Manchester Arena,Musical Theatre,Standing (General),48.0,7,11.4,0,1,0,0,4,0,0,0,0,0,0.08,22.0,58.5
2024-02-11,2023-11-14,89,Manchester Arena,Electronic/Dance,Standing (General),48.0,7,3.8,1,1,1,0,2,6,0,1,0,0,0.08,22.0,58.5
2023-08-19,2023-08-03,16,Manchester Arena,Electronic/Dance,Standing (General),48.0,7,12.7,0,1,1,1,8,5,0,1,0,1,0.08,22.0,58.5
2024-10-16,2024-09-07,39,Manchester Arena,Electronic/Dance,Standard (Seated),78.0,5,2.8,1,1,0,0,10,2,0,0,0,1,0.08,10.49,86.0
2023-06-20,2023-05-08,43,Manchester Arena,Jazz,Standing (General),48.0,2,18.5,0,0,0,0,6,1,0,0,0,1,0.08,-20.15,38.5
2024-06-24,2024-04-24,61,"O2 Arena, London",Rock,VIP Package,210.0,2,16.2,0,0,0,0,6,0,1,0,0,0,0.22,0.66,211.5
2023-02-05,2022-12-15,52,"Utilita Arena, Birmingham",R&B,Standard (Seated),78.0,8,1.8,1,1,1,0,2,6,0,1,0,0,0.05,22.0,95.0
2024-06-08,2024-05-10,29,"Utilita Arena, Birmingham",Classical,Standard (Seated),78.0,1,15.1,0,0,1,1,6,5,1,0,0,0,0.05,-8.01,72.0
2023-06-09,2023-05-16,24,"Utilita Arena, Birmingham",Pop,Standard (Seated),78.0,6,23.0,0,0,1,0,6,4,0,0,0,0,0.05,16.79,91.0
2024-11-29,2024-11-03,26,"O2 Arena, London",Musical Theatre,Standard (Seated),78.0,6,3.5,1,1,1,0,11,4,0,0,0,0,0.22,22.0,95.0
2023-08-31,2023-04-28,125,Manchester Arena,R&B,Premium (Seated),125.0,5,19.1,0,0,0,0,8,3,0,1,1,0,0.08,22.0,152.5
2023-03-27,2023-03-11,16,"Utilita Arena, Birmingham",Electronic/Dance,Standard (Seated),78.0,9,8.1,0,1,0,0,3,0,0,0,1,0,0.05,22.0,95.0
2024-07-31,2024-03-16,137,"Utilita Arena, Birmingham",Classical,Premium (Seated),125.0,3,11.9,0,1,0,0,7,2,0,1,0,0,0.05,10.04,137.5
2024-11-12,2024-09-15,58,"First Direct Arena, Leeds",Rock,VIP Package,210.0,7,2.1,1,1,0,0,11,1,0,0,0,0,0.02,19.45,251.0
2024-07-10,2024-04-03,98,Manchester Arena,Musical Theatre,Premium (Seated),125.0,6,22.7,0,0,0,0,7,2,0,1,0,0,0.08,22.0,152.5
2024-07-27,2024-06-17,40,"Glastonbury Festival, Somerset",Musical Theatre,Standard (Seated),78.0,9,8.8,0,1,1,1,7,5,0,1,0,0,0.35,22.0,95.0
2024-10-07,2024-08-06,62,Manchester Arena,Electronic/Dance,Standing (General),48.0,9,-0.1,1,1,0,0,10,0,0,0,0,0,0.08,22.0,58.5
